"term","estimate","lower95","upper95","num_boots","park","resp"
"Slope",0.165587789668132,-0.17806186868687,0.531589978261203,1000,"GETT","Seed_Dens_Total"
"c1_response",2.24590587243863,1.57857661519193,2.96799695868532,1000,"GETT","Seed_Dens_Total"
"c2_response",2.41149366210676,1.77491506132873,3.05233585858585,1000,"GETT","Seed_Dens_Total"
"c3_response",2.57708145177489,1.8614849936437,3.36778696862512,1000,"GETT","Seed_Dens_Total"
"Intercept",0.263497113211108,0.167677672808126,0.364839897677538,1000,"GETT","Sor_sap"
"Slope",0.00213411218454556,-0.0325261943662045,0.0344669432975281,1000,"GETT","Sor_sap"
"c1_response",0.265631225395654,0.18922847499599,0.341121783717611,1000,"GETT","Sor_sap"
"c2_response",0.267765337580199,0.203085609116853,0.329261912602489,1000,"GETT","Sor_sap"
"c3_response",0.269899449764745,0.202350235003808,0.334757757516963,1000,"GETT","Sor_sap"
"Intercept",0.349616916138694,0.268862673171395,0.440938490514902,1000,"GETT","Sor_seed"
"Slope",-0.0560466414201158,-0.0888839490084025,-0.0251782153081393,1000,"GETT","Sor_seed"
"c1_response",0.293570274718579,0.234298949224145,0.356193215425902,1000,"GETT","Sor_seed"
"c2_response",0.237523633298463,0.196125556074054,0.281096484775917,1000,"GETT","Sor_seed"
"c3_response",0.181476991878347,0.138368190873205,0.224433158295407,1000,"GETT","Sor_seed"
"Intercept",154.979729454765,80.335193012339,237.659608784556,1000,"GETT","stock_final"
"Slope",5.75303403370043,-22.6523699221848,34.9287607173072,1000,"GETT","stock_final"
"c1_response",160.732763488465,99.5802815945286,227.235577081275,1000,"GETT","stock_final"
"c2_response",166.485797522166,110.104445197837,227.071372228547,1000,"GETT","stock_final"
"c3_response",172.238831555866,112.484220460585,241.363955075012,1000,"GETT","stock_final"
"Intercept",0.202716325402884,NA,NA,NA,"GETT","Tree_BA_Exotic"
"Slope",0.0268183363072542,NA,NA,NA,"GETT","Tree_BA_Exotic"
"c1_response",0.229534661710138,NA,NA,NA,"GETT","Tree_BA_Exotic"
"c2_response",0.256352998017392,NA,NA,NA,"GETT","Tree_BA_Exotic"
"c3_response",0.283171334324647,NA,NA,NA,"GETT","Tree_BA_Exotic"
"Intercept",23.28047234368,19.0327697050505,27.3208675097656,1000,"GETT","Tree_BA_NatCan"
"Slope",-0.723009155395183,-1.90252365899537,0.432294735044781,1000,"GETT","Tree_BA_NatCan"
