Latin_Name,NCRN_Common,Common,Family,Genus,Species,TSN,Favorite,Woody,Herbaceous,Targeted_Herb,Tree,Shrub,Vine,Exotic
Najas gracillima,slender waternymph,slender waternymph,Najadaceae,Najas,gracillima,38997,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Najas guadalupensis,southern waternymph,"Guadalupe waternymph, common waternymph, southern naiad, southern waternymph",Najadaceae,Najas,guadalupensis,38998,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Najas minor,brittle waternymph,brittle waternymph,Najadaceae,Najas,minor,39002,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Napaea dioica,glademallow,glademallow,Malvaceae,Napaea,dioica,21853,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Narcissus jonquilla,,jonquil,Liliaceae,Narcissus,jonquilla,503926,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Narcissus poeticus,,poet's narcissus,Liliaceae,Narcissus,poeticus,503929,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Narcissus pseudonarcissus,,"common daffodil, daffodil",Liliaceae,Narcissus,pseudonarcissus,503930,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Narcissus spp.,,"daffodil, narcissus",Liliaceae,Narcissus,,500435,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Nasturtium officinale,,,Brassicaceae,Nasturtium,officinale,23255,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Nelumbo lutea,American lotus,"American lotus, lotus",Nelumbonaceae,Nelumbo,lutea,18398,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Nemopanthus mucronatus,,"catberry, mountain holly",Aquifoliaceae,Nemopanthus,mucronatus,28016,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Neobeckia aquatica,lakecress,"Neobeckia aquatica, lakecress",Brassicaceae,Neobeckia,aquatica,508081,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Nepeta cataria,catnip,"catmint, catnip, catwort, field balm",Lamiaceae,Nepeta,cataria,32623,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Nepeta hederacea,,,Lamiaceae,Nepeta,hederacea,517531,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Nicandra physalodes,,apple of Peru,Solanaceae,Nicandra,physalodes,30561,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
