"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Frame","Sample_Year","Date","Transect_Azimuth","TSN","Decay_Class","Diameter","Hollow","CWD_Notes","Latin_Name"
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"360",32931,"2",8.50,0,,"Fraxinus americana"
"ANTI-0201","ANTI","ANTI","na",4.00,1,"Park",2018,20180627,"240",32931,"1",10.00,0,,"Fraxinus americana"
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"360",19276,"3",18.00,0,,"Quercus spp."
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"360",19049,"3",9.00,0,,"Ulmus americana"
"ANTI-0201","ANTI","ANTI","na",4.00,1,"Park",2018,20180627,"360",999999,"3",11.00,0,,"Unknown"
"ANTI-0201","ANTI","ANTI","na",3.00,1,"Park",2014,20140716,"360",32931,"2",24.00,0,,"Fraxinus americana"
"ANTI-0201","ANTI","ANTI","na",3.00,1,"Park",2014,20140716,"360",999999,"2",11.00,0,,"Unknown"
"ANTI-0201","ANTI","ANTI","na",3.00,1,"Park",2014,20140716,"240",24764,"2",7.50,0,,"Prunus serotina"
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"360",32931,"2",8.00,0,,"Fraxinus americana"
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"240",19049,"3",35.00,0,,"Ulmus americana"
"ANTI-0201","ANTI","ANTI","na",4.00,1,"Park",2018,20180627,"240",999999,"4",37.00,0,,"Unknown"
"ANTI-0201","ANTI","ANTI","na",3.00,1,"Park",2014,20140716,"360",999999,"3",12.50,0,,"Unknown"
"ANTI-0201","ANTI","ANTI","na",4.00,1,"Park",2018,20180627,"360",999999,"3",15.00,0,,"Unknown"
"ANTI-0201","ANTI","ANTI","na",4.00,1,"Park",2018,20180627,"360",999999,"4",21.00,0,,"Unknown"
"ANTI-0201","ANTI","ANTI","na",3.00,1,"Park",2014,20140716,"240",999999,"2",11.00,0,,"Unknown"
"ANTI-0201","ANTI","ANTI","na",3.00,1,"Park",2014,20140716,"360",28749,"3",15.00,1,,"Acer negundo"
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"360",32931,"2",13.00,0,,"Fraxinus americana"
"ANTI-0201","ANTI","ANTI","na",4.00,1,"Park",2018,20180627,"240",999999,"3",7.50,0,,"Unknown"
"ANTI-0201","ANTI","ANTI","na",3.00,1,"Park",2014,20140716,"360",999999,"3",18.00,0,,"Unknown"
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"360",32931,"2",21.00,0,,"Fraxinus americana"
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"360",19049,"3",10.50,0,,"Ulmus americana"
"ANTI-0201","ANTI","ANTI","na",3.00,1,"Park",2014,20140716,"240",999999,"3",32.50,0,,"Unknown"
"ANTI-0201","ANTI","ANTI","na",4.00,1,"Park",2018,20180627,"240",999999,"3",8.00,0,,"Unknown"
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"240",19049,"2",10.50,0,,"Ulmus americana"
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"360",19049,"3",11.50,0,,"Ulmus americana"
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"360",19049,"3",7.50,0,,"Ulmus americana"
"ANTI-0201","ANTI","ANTI","na",3.00,1,"Park",2014,20140716,"360",32931,"3",12.00,0,,"Fraxinus americana"
"ANTI-0201","ANTI","ANTI","na",4.00,1,"Park",2018,20180627,"360",999999,"3",9.00,0,,"Unknown"
