Plot_Name,Event_Date,Event_Date_Txt,Event_Year,Unit_Code,Unit_Group,Subunit_Code,Protocol_Name,Panel,Frame,Cycle,Event_ID,numSeedPlots
HAFE-0215,8/1/2006 0:00,20060801,2006,HAFE,SHIS,na,1,1,Region,1,{670F1555-DA2E-4A87-88CC-E4CDF7C28409},12
HAFE-0218,7/12/2012 0:00,20120712,2012,HAFE,LOHE,na,2.0.1,3,Region,2,{ECFABC0D-2BE1-4612-BB82-2DE9AE787845},12
HAFE-0218,7/10/2008 10:34,20080710,2008,HAFE,LOHE,na,1,3,Region,1,{3219FE00-574A-44D2-8689-A0958ED0BC6B},12
HAFE-0218,7/7/2016 0:00,20160707,2016,HAFE,LOHE,na,2.2,3,Region,3,{9E1C3F43-28C8-40EB-A7CE-7D6855163630},12
HAFE-0240,7/11/2013 0:00,20130711,2013,HAFE,LOHE,na,2.0.1,4,Region,2,{87AEB863-CA2F-495F-B1AF-12D2B0CD04A8},12
HAFE-0240,6/11/2009 10:39,20090611,2009,HAFE,LOHE,na,2,4,Region,1,{80F484B6-4668-4DC1-B229-700478AA8CC4},12
HAFE-0240,8/8/2017 0:00,20170808,2017,HAFE,LOHE,na,2.3,4,Region,3,{F83E889F-734E-4D7B-8A55-FF72A87B6310},12
MANA-0002,5/9/2018 0:00,20180509,2018,MANA,MANA,na,2.3,1,Region,4,{6E981290-CB46-4C28-80C2-B48C19B717A0},12
MANA-0002,7/7/2006 0:00,20060707,2006,MANA,MANA,na,1,1,Region,1,{3359BA22-4920-4C1C-A683-6DBC5734A879},12
MANA-0002,5/23/2014 0:00,20140523,2014,MANA,MANA,na,2.1,1,Region,3,{04649270-FAE2-43ED-9DEC-8CA78A2D0490},12
MANA-0002,6/24/2010 9:39,20100624,2010,MANA,MANA,na,2.0.1,1,Region,2,{FBBECA05-593F-4182-BC9B-BEECAC3F9B69},12
MANA-0011,6/26/2008 9:52,20080626,2008,MANA,MANA,na,1,3,Region,1,{D8922913-314B-4934-B916-20A18F5FF059},12
MANA-0011,4/29/2016 0:00,20160429,2016,MANA,MANA,na,2.2,3,Region,3,{521D1E2B-1260-4F4A-B975-BACA44D3A4CC},12
MANA-0011,6/13/2012 0:00,20120613,2012,MANA,MANA,na,2.0.1,3,Region,2,{A65A7F10-D517-4297-9084-DDFEE8345BE3},12
MANA-0025,6/3/2010 12:41,20100603,2010,MANA,MANA,na,2.0.1,1,Region,2,{D032453D-AE79-4490-856B-4656BB92B30C},12
MANA-0025,5/28/2014 0:00,20140528,2014,MANA,MANA,na,2.1,1,Region,3,{ED6D2223-1A94-46DC-9336-B0594D3B5F68},12
MANA-0025,7/10/2006 0:00,20060710,2006,MANA,MANA,na,1,1,Region,1,{5E927139-12DA-4FAD-AAAE-E288734D8C04},12
MANA-0025,5/8/2018 0:00,20180508,2018,MANA,MANA,na,2.3,1,Region,4,{2CE65242-D086-4597-A799-D553F373F866},12
