Plot_Name,Unit_Code,Unit_Group,Subunit_Code,Panel,Frame,GRTS_Order,Location_Status,Location_Notes,Event_Count,Event_Earliest,Event_Latest,UTM_ZONE_NAD83_X,UTM_ZONE_NAD83_Y,Latitude,Longitude,UTM_Zone,Slope,Aspect
DEWA-260,DEWA,DEWA,NA,4,ERMN,86,Active,NA,3,20100616,20180615,506808,4548737,41.08987245,-74.91894002,18,10,10
DEWA-262,DEWA,DEWA,NA,4,ERMN,95,Active,NA,3,20100624,20180628,497428,4547993,41.08319487,-75.03062062,18,4,Flat
DEWA-264,DEWA,DEWA,NA,3,ERMN,67,Active,NA,3,20090610,20170614,498927,4547976,41.08304509,-75.01277444,18,4,325
DEWA-271,DEWA,DEWA,NA,3,ERMN,74,Active,NA,3,20090611,20170619,504176,4547988,41.08314317,-74.9502832,18,7,289
DEWA-273,DEWA,DEWA,NA,2,ERMN,45,Active,NA,3,20080617,20160627,505677,4547988,41.08313408,-74.93241327,18,9,342
DEWA-280,DEWA,DEWA,NA,4,ERMN,93,Active,NA,3,20100610,20180612,502301,4547262,41.07661075,-74.97260847,18,24,148
DEWA-284,DEWA,DEWA,NA,4,ERMN,88,Active,NA,3,20100615,20180625,505309,4547235,41.07635346,-74.93680093,18,16,333
DEWA-285,DEWA,DEWA,NA,3,ERMN,60,Active,NA,3,20090629,20170618,498173,4546488,41.06963967,-75.02174665,18,15,325
DEWA-289,DEWA,DEWA,NA,4,ERMN,90,Active,NA,3,20100610,20180620,502679,4546502,41.06976342,-74.968112,18,5,325
DEWA-293,DEWA,DEWA,NA,2,ERMN,36,Active,NA,3,20080626,20160622,498548,4545742,41.06292035,-75.01728129,18,11,113
DEWA-298,DEWA,DEWA,NA,2,ERMN,55,Active,NA,3,20080627,20160628,502298,4545745,41.06294543,-74.97264985,18,16,315
DEWA-303,DEWA,DEWA,NA,2,ERMN,51,Active,NA,3,20080627,20160614,498990,4545017,41.05639012,-75.01201954,18,1,Flat
DEWA-304,DEWA,DEWA,NA,3,ERMN,57,Active,NA,3,20090622,20170620,499668,4544964,41.05591324,-75.00395095,18,0,Flat
DEWA-305,DEWA,DEWA,NA,2,ERMN,50,Active,NA,3,20080627,20160614,500420,4544987,41.05612039,-74.99500179,18,12,320
DEWA-312,DEWA,DEWA,NA,3,ERMN,69,Active,NA,3,20090624,20170629,497062,4544238,41.04936809,-75.03496006,18,11,127
DEWA-313,DEWA,DEWA,NA,4,ERMN,85,Active,NA,3,20100629,20180627,497803,4544236,41.04935241,-75.0261427,18,29,125
DEWA-319,DEWA,DEWA,NA,3,ERMN,64,Active,NA,3,20090617,20170619,503040,4544243,41.04941275,-74.96382619,18,24,118
DEWA-322,DEWA,DEWA,NA,1,ERMN,27,Active,NA,4,20070725,20190711,498180,4543487,41.04260622,-75.02165446,18,0,Flat
DEWA-339,DEWA,DEWA,NA,1,ERMN,20,Active,NA,4,20070719,20190710,498930,4541986,41.02908627,-75.01272831,18,8,280
DEWA-340,DEWA,DEWA,NA,3,ERMN,58,Active,NA,3,20090624,20170629,493302,4541238,41.02232131,-75.07966871,18,50,147
DEWA-342,DEWA,DEWA,NA,3,ERMN,79,Active,NA,3,20090622,20170627,495555,4541236,41.0223187,-75.05287062,18,15,336
DEWA-351,DEWA,DEWA,NA,3,ERMN,76,Active,NA,3,20090623,20170627,495928,4540485,41.01555549,-75.04842905,18,35,332
DEWA-352,DEWA,DEWA,NA,4,ERMN,104,Active,NA,3,20100622,20180621,496680,4540488,41.01558592,-75.0394854,18,32,150
DEWA-357,DEWA,DEWA,NA,4,ERMN,100,Active,NA,3,20100622,20180621,494798,4539733,41.00877488,-75.06186201,18,35,342
DEWA-358,DEWA,DEWA,NA,1,ERMN,17,Active,NA,4,20070710,20190710,496288,4539752,41.00895418,-75.0441431,18,25,15
DEWA-359,DEWA,DEWA,NA,1,ERMN,22,Active,NA,4,20070724,20190709,491425,4539006,41.0021974,-75.10196347,18,29,326
DEWA-367,DEWA,DEWA,NA,3,ERMN,72,Active,NA,3,20090623,20170703,494052,4538233,40.99525743,-75.07071897,18,4,173
DEWA-369,DEWA,DEWA,NA,1,ERMN,8,Active,NA,4,20070719,20190625,495560,4538219,40.99514092,-75.05278945,18,11,185
DEWA-372,DEWA,DEWA,NA,4,ERMN,105,Active,NA,3,20100629,20180619,490680,4537487,40.98850572,-75.11079918,18,38,178
DEWA-375,DEWA,DEWA,NA,1,ERMN,11,Active,NA,4,20070710,20190625,492931,4537490,40.98855536,-75.08403863,18,12,330
DEWA-381,DEWA,DEWA,NA,2,ERMN,39,Active,NA,3,20080625,20160623,491801,4536736,40.98175257,-75.09746243,18,23,342
DEWA-385,DEWA,DEWA,NA,4,ERMN,91,Active,NA,3,20100608,20180619,489929,4535980,40.97492137,-75.11970274,18,28,333
DEWA-386,DEWA,DEWA,NA,4,ERMN,98,Active,NA,3,20100608,20180612,490689,4536003,40.97513758,-75.11066984,18,16,345
DEWA-390,DEWA,DEWA,NA,1,ERMN,25,Active,NA,4,20070724,20190701,488050,4535240,40.9682299,-75.14202197,18,15,346
DEWA-398,DEWA,DEWA,NA,1,ERMN,18,Active,NA,4,20070717,20190819,489944,4534488,40.96148121,-75.11950021,18,1,Flat
DEWA-407,DEWA,DEWA,NA,2,ERMN,41,Active,NA,3,20080625,20160623,491059,4533739,40.95474698,-75.10623934,18,6,280
FONE-002,FONE,FONE,NA,1,ERMN,1,Active,NA,4,20070523,20190722,616401,4415184,39.87872803,-79.63877521,17,6,267
FONE-004,FONE,FONE,NA,4,ERMN,19,Active,NA,3,20100714,20180719,619916,4410216,39.83348999,-79.59859187,17,5,244
FONE-006,FONE,FONE,NA,3,ERMN,13,Active,NA,3,20090714,20170719,621041,4408462,39.81753161,-79.58577223,17,20,175
FONE-011,FONE,FONE,NA,1,ERMN,8,Active,NA,4,20070525,20190724,620041,4407956,39.81311568,-79.59754545,17,-19,264
FONE-012,FONE,FONE,NA,3,ERMN,16,Active,NA,3,20090714,20170717,620293,4407963,39.81314311,-79.59460085,17,11,62
FONE-014,FONE,FONE,NA,1,ERMN,11,Active,NA,4,20070531,20190722,620786,4407941,39.81287505,-79.58884676,17,-12,320
FONE-018,FONE,FONE,NA,4,ERMN,17,Active,NA,3,20100712,20180716,619916,4407709,39.81090849,-79.5990506,17,12,248
FONE-024,FONE,FONE,NA,3,ERMN,18,Active,NA,3,20090714,20170717,621415,4407718,39.81077682,-79.58154151,17,3,352
FONE-027,FONE,FONE,NA,3,ERMN,12,Active,NA,3,20090713,20170719,620290,4407458,39.80859481,-79.59472853,17,22,228
FONE-028,FONE,FONE,NA,1,ERMN,6,Active,NA,4,20070524,20190724,620531,4407480,39.80875884,-79.59190984,17,4,191
FONE-029,FONE,FONE,NA,4,ERMN,14,Active,NA,3,20100715,20180719,620799,4407464,39.80857669,-79.5887828,17,20,34
FONE-030,FONE,FONE,NA,4,ERMN,21,Active,NA,3,20100715,20180718,621040,4407470,39.80859646,-79.58596705,17,21,15
FONE-031,FONE,FONE,NA,2,ERMN,7,Active,NA,3,20080715,20160713,621569,4407435,39.80820574,-79.57979535,17,8,260
FONE-035,FONE,FONE,NA,3,ERMN,15,Active,NA,3,20090713,20170719,620420,4407222,39.80645066,-79.59325359,17,25,205
FONE-038,FONE,FONE,NA,4,ERMN,20,Active,NA,3,20100715,20180718,621164,4407208,39.80621888,-79.58456726,17,0,124
FONE-039,FONE,FONE,NA,2,ERMN,5,Active,NA,3,20080715,20160713,621412,4407224,39.80632762,-79.581668,17,6,340
FONE-041,FONE,FONE,NA,1,ERMN,2,Active,NA,4,20070524,20190724,620013,4406951,39.8040672,-79.59805641,17,17,154
FONE-042,FONE,FONE,NA,2,ERMN,10,Active,NA,3,20080714,20160711,620293,4406964,39.80414473,-79.5947841,17,34,329
FONE-043,FONE,FONE,NA,2,ERMN,9,Active,NA,3,20080714,20160711,620542,4406972,39.80418153,-79.59187474,17,26,164
FONE-046,FONE,FONE,NA,2,ERMN,3,Active,NA,3,20080715,20160713,621538,4406965,39.80397673,-79.58024449,17,13,288
FRHI-001,FRHI,FRHI,NA,3,ERMN,13,Active,NA,3,20090715,20170720,591649,4404336,39.78403986,-79.9296956,17,0,Flat
FRHI-003,FRHI,FRHI,NA,4,ERMN,22,Active,NA,3,20100714,20180717,592163,4404352,39.78412849,-79.9236917,17,23,91
FRHI-004,FRHI,FRHI,NA,1,ERMN,5,Active,NA,4,20070530,20190723,592396,4404302,39.78365279,-79.92097814,17,-16,350
