Latin_Name,NCRN_Common,Common,Family,Genus,Species,TSN,Favorite,Woody,Herbaceous,Targeted_Herb,Tree,Shrub,Vine,Exotic
Acicarpha sp.,acicarpha,acicarpha,Calyceraceae,Acicarpha,,35417,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acicarpha tribuloides,madam gorgon,madam gorgon,Calyceraceae,Acicarpha,tribuloides,35418,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acinos sp.,acinos,acinos,Lamiaceae,Acinos,,184861,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acinos arvensis,basil thyme,basil thyme,Lamiaceae,Acinos,arvensis,184862,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Aconitum sp.,monkshood,monkshood,Ranunculaceae,Aconitum,,18411,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Aconitum napellus,Venus' chariot,Venus' chariot,Ranunculaceae,Aconitum,napellus,18419,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Aconitum reclinatum,trailing white monkshood,trailing white monkshood,Ranunculaceae,Aconitum,reclinatum,18420,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Aconitum uncinatum,southern blue monkshood,southern blue monkshood,Ranunculaceae,Aconitum,uncinatum,18421,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Aconitum uncinatum ssp. muticum,southern blue monkshood,southern blue monkshood,Ranunculaceae,Aconitum,uncinatum,18423,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Aconitum uncinatum ssp. uncinatum,southern blue monkshood,southern blue monkshood,Ranunculaceae,Aconitum,uncinatum,18422,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acoraceae,,,Acoraceae,,,500036,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Acorus sp.,sweetflag,sweetflag,Acoraceae,Acorus,,42522,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acorus americanus,sweetflag,sweetflag,Acoraceae,Acorus,americanus,182561,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acorus calamus,calamus,calamus,Acoraceae,Acorus,calamus,564989,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Actaea sp.,baneberry,baneberry,Ranunculaceae,Actaea,,18721,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Actaea pachypoda,white baneberry,white baneberry,Ranunculaceae,Actaea,pachypoda,18722,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Actaea rubra,red baneberry,red baneberry,Ranunculaceae,Actaea,rubra,18723,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Actaea rubra ssp. rubra,red baneberry,red baneberry,Ranunculaceae,Actaea,rubra,181881,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Adiantum sp.,maidenhair fern,maidenhair fern,Pteridaceae,Adiantum,,17307,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adiantum aleuticum,Aleutian maidenhair,Aleutian maidenhair,Pteridaceae,Adiantum,aleuticum,181788,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adiantum pedatum,northern maidenhair,northern maidenhair,Pteridaceae,Adiantum,pedatum,17311,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adlumia sp.,adlumia,adlumia,Fumariaceae,Adlumia,,18896,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adlumia fungosa,allegheny vine,allegheny vine,Fumariaceae,Adlumia,fungosa,18897,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Aegilops sp.,goatgrass,goatgrass,Poaceae,Aegilops,,182534,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aegilops cylindrica,jointed goatgrass,jointed goatgrass,Poaceae,Aegilops,cylindrica,182536,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aegilops triuncialis,barbed goatgrass,barbed goatgrass,Poaceae,Aegilops,triuncialis,182540,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aegopodium sp.,goutweed,goutweed,Apiaceae,Aegopodium,,29566,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Aegopodium podagraria,bishop's goutweed,bishop's goutweed,Apiaceae,Aegopodium,podagraria,29567,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Aeschynomene sp.,jointvetch,jointvetch,Fabaceae,Aeschynomene,,25358,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Aeschynomene rudis,zigzag jointvetch,zigzag jointvetch,Fabaceae,Aeschynomene,rudis,25364,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Aeschynomene virginica,Virginia jointvetch,Virginia jointvetch,Fabaceae,Aeschynomene,virginica,25359,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Aesculus sp.,buckeye,buckeye,Hippocastanaceae,Aesculus,,28714,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aesculus ×hybrida,,,Hippocastanaceae,Aesculus,×hybrida,182122,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Aesculus flava,yellow buckeye,yellow buckeye,Hippocastanaceae,Aesculus,flava,28717,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Aesculus glabra,Ohio buckeye,Ohio buckeye,Hippocastanaceae,Aesculus,glabra,28718,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Aesculus glabra var. glabra,Ohio buckeye,Ohio buckeye,Hippocastanaceae,Aesculus,glabra,28719,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Aesculus hippocastanum,horse chestnut,horse chestnut,Hippocastanaceae,Aesculus,hippocastanum,28721,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Aesculus parviflora,bottlebrush buckeye,bottlebrush buckeye,Hippocastanaceae,Aesculus,parviflora,28722,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Aesculus pavia,red buckeye,red buckeye,Hippocastanaceae,Aesculus,pavia,28723,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Aesculus pavia var. pavia,red buckeye,red buckeye,Hippocastanaceae,Aesculus,pavia,182118,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Aethusa sp.,aethusa,aethusa,Apiaceae,Aethusa,,29568,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Aethusa cynapium,fool's parsley,fool's parsley,Apiaceae,Aethusa,cynapium,29569,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agalinis sp.,false foxglove,false foxglove,Scrophulariaceae,Agalinis,,33006,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agalinis auriculata,earleaf false foxglove,earleaf false foxglove,Scrophulariaceae,Agalinis,auriculata,182269,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agalinis fasciculata,beach false foxglove,beach false foxglove,Scrophulariaceae,Agalinis,fasciculata,33021,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agalinis obtusifolia,tenlobe false foxglove,tenlobe false foxglove,Scrophulariaceae,Agalinis,obtusifolia,33029,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agalinis paupercula,smallflower false foxglove,smallflower false foxglove,Scrophulariaceae,Agalinis,paupercula,33031,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agalinis paupercula var. borealis,smallflower false foxglove,smallflower false foxglove,Scrophulariaceae,Agalinis,paupercula,182268,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agalinis paupercula var. paupercula,smallflower false foxglove,smallflower false foxglove,Scrophulariaceae,Agalinis,paupercula,182267,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agalinis purpurea,purple false foxglove,purple false foxglove,Scrophulariaceae,Agalinis,purpurea,33007,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agalinis tenuifolia,slenderleaf false foxglove,slenderleaf false foxglove,Scrophulariaceae,Agalinis,tenuifolia,33036,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agalinis tenuifolia var. macrophylla,slenderleaf false foxglove,slenderleaf false foxglove,Scrophulariaceae,Agalinis,tenuifolia,184871,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agalinis tenuifolia var. tenuifolia,slenderleaf false foxglove,slenderleaf false foxglove,Scrophulariaceae,Agalinis,tenuifolia,184869,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agastache sp.,giant hyssop,giant hyssop,Lamiaceae,Agastache,,32431,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Agastache foeniculum,blue giant hyssop,blue giant hyssop,Lamiaceae,Agastache,foeniculum,32440,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agastache nepetoides,yellow giant hyssop,yellow giant hyssop,Lamiaceae,Agastache,nepetoides,32443,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agastache scrophulariifolia,purple giant hyssop,purple giant hyssop,Lamiaceae,Agastache,scrophulariifolia,32449,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agavaceae,,,Agavaceae,,,43322,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ageratina sp.,snakeroot,snakeroot,Asteraceae,Ageratina,,36464,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ageratina altissima,white snakeroot,white snakeroot,Asteraceae,Ageratina,altissima,36466,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Ageratina altissima var. altissima,white snakeroot,white snakeroot,Asteraceae,Ageratina,altissima,182398,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Ageratina altissima var. roanensis,white snakeroot,white snakeroot,Asteraceae,Ageratina,altissima,182400,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Ageratina aromatica,lesser snakeroot,lesser snakeroot,Asteraceae,Ageratina,aromatica,36467,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Ageratina aromatica var. aromatica,lesser snakeroot,lesser snakeroot,Asteraceae,Ageratina,aromatica,182401,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrimonia sp.,agrimony,agrimony,Rosaceae,Agrimonia,,25092,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrimonia eupatoria,churchsteeples,churchsteeples,Rosaceae,Agrimonia,eupatoria,25094,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrimonia gryposepala,tall hairy agrimony,tall hairy agrimony,Rosaceae,Agrimonia,gryposepala,25095,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrimonia microcarpa,smallfruit agrimony,smallfruit agrimony,Rosaceae,Agrimonia,microcarpa,25097,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrimonia parviflora,harvestlice,harvestlice,Rosaceae,Agrimonia,parviflora,25098,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrimonia pubescens,soft agrimony,soft agrimony,Rosaceae,Agrimonia,pubescens,25099,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrimonia rostellata,beaked agrimony,beaked agrimony,Rosaceae,Agrimonia,rostellata,25100,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrimonia striata,roadside agrimony,roadside agrimony,Rosaceae,Agrimonia,striata,25101,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrostemma sp.,corncockle,corncockle,Caryophyllaceae,Agrostemma,,20229,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrostemma githago,common corncockle,common corncockle,Caryophyllaceae,Agrostemma,githago,20230,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrostis sp.,bentgrass,bentgrass,Poaceae,Agrostis,,40389,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrostis canina,velvet bentgrass,velvet bentgrass,Poaceae,Agrostis,canina,40396,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrostis capillaris,colonial bentgrass,colonial bentgrass,Poaceae,Agrostis,capillaris,185249,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrostis elliottiana,Elliott's bentgrass,Elliott's bentgrass,Poaceae,Agrostis,elliottiana,40397,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrostis gigantea,redtop,redtop,Poaceae,Agrostis,gigantea,40414,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrostis hyemalis,winter bentgrass,winter bentgrass,Poaceae,Agrostis,hyemalis,40394,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrostis mertensii,northern bentgrass,northern bentgrass,Poaceae,Agrostis,mertensii,182507,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrostis perennans,upland bentgrass,upland bentgrass,Poaceae,Agrostis,perennans,40423,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrostis scabra,rough bentgrass,rough bentgrass,Poaceae,Agrostis,scabra,40424,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Agrostis stolonifera,creeping bentgrass,creeping bentgrass,Poaceae,Agrostis,stolonifera,40400,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ailanthus sp.,ailanthus,ailanthus,Simaroubaceae,Ailanthus,,28826,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ailanthus altissima,tree of heaven,tree of heaven,Simaroubaceae,Ailanthus,altissima,28827,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Aira sp.,hairgrass,hairgrass,Poaceae,Aira,,41375,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aira caryophyllea,silver hairgrass,silver hairgrass,Poaceae,Aira,caryophyllea,41376,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aira praecox,yellow hairgrass,yellow hairgrass,Poaceae,Aira,praecox,41378,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aizoaceae,,,Aizoaceae,,,19897,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ajuga sp.,bugle,bugle,Lamiaceae,Ajuga,,32451,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ajuga genevensis,blue bugle,blue bugle,Lamiaceae,Ajuga,genevensis,32453,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Ajuga reptans,common bugle,common bugle,Lamiaceae,Ajuga,reptans,32454,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Akebia sp.,chocolate vine,chocolate vine,Lardizabalaceae,Akebia,,18856,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Akebia quinata,chocolate vine,chocolate vine,Lardizabalaceae,Akebia,quinata,18857,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Albizia sp.,albizia,albizia,Fabaceae,Albizia,,26448,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Albizia julibrissin,silktree,silktree,Fabaceae,Albizia,julibrissin,26449,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Alcea sp.,hollyhock,hollyhock,Malvaceae,Alcea,,21773,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Alcea rosea,hollyhock,hollyhock,Malvaceae,Alcea,rosea,21774,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Aletris sp.,colicroot,colicroot,Liliaceae,Aletris,,42767,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aletris farinosa,white colicroot,white colicroot,Liliaceae,Aletris,farinosa,42769,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Alisma sp.,water plantain,water plantain,Alismataceae,Alisma,,38891,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Alisma subcordatum,American water plantain,American water plantain,Alismataceae,Alisma,subcordatum,38895,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Alisma triviale,northern water plantain,northern water plantain,Alismataceae,Alisma,triviale,182441,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Alismataceae,,,Alismataceae,,,38890,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Alliaria sp.,alliaria,alliaria,Brassicaceae,Alliaria,,23027,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Alliaria petiolata,garlic mustard,garlic mustard,Brassicaceae,Alliaria,petiolata,184481,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Allium sp.,onion,onion,Liliaceae,Allium,,42634,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Allium allegheniense,Allegheny onion,Allegheny onion,Liliaceae,Allium,allegheniense,185453,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Allium burdickii,narrowleaf wild leek,narrowleaf wild leek,Liliaceae,Allium,burdickii,185461,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Allium canadense,meadow garlic,meadow garlic,Liliaceae,Allium,canadense,42635,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Allium canadense var. canadense,meadow garlic,meadow garlic,Liliaceae,Allium,canadense,182590,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Allium cepa,garden onion,garden onion,Liliaceae,Allium,cepa,42720,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Allium cernuum,nodding onion,nodding onion,Liliaceae,Allium,cernuum,42721,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Allium cernuum var. cernuum,nodding onion,nodding onion,Liliaceae,Allium,cernuum,182641,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Allium oleraceum,field garlic,field garlic,Liliaceae,Allium,oleraceum,42689,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Allium oxyphilum,lillydale onion,lillydale onion,Liliaceae,Allium,oxyphilum,182648,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Allium sativum,cultivated garlic,cultivated garlic,Liliaceae,Allium,sativum,42652,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Allium schoenoprasum,wild chives,wild chives,Liliaceae,Allium,schoenoprasum,42636,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Allium schoenoprasum var. schoenoprasum,wild chives,wild chives,Liliaceae,Allium,schoenoprasum,182596,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Allium schoenoprasum var. sibiricum,wild chives,wild chives,Liliaceae,Allium,schoenoprasum,526875,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Allium tricoccum,wild leek,wild leek,Liliaceae,Allium,tricoccum,42672,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Allium vineale,wild garlic,wild garlic,Liliaceae,Allium,vineale,42637,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Allium vineale ssp. vineale,wild garlic,wild garlic,Liliaceae,Allium,vineale,182599,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Alnus sp.,alder,alder,Betulaceae,Alnus,,19466,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
